Symbol,Date,Open,High,Low,Close,Volume,Premarket High,Morning High,Outstanding Shares,Market Cap,GAP%
SYN,2017-05-11,0.54,0.7,0.52,0.55,10483174,0.65,0.705,121890000,65954679,27.59
SGMO,2017-05-11,6.35,7.25,6.05,7,15678745,6.6,6.8,71750000,455612500,45.98
TCCO,2017-05-12,3.5,4.4,2.65,2.8,3718021,3.7,4.4,1840000,6440000,44.71
CYRN,2017-05-15,2.45,2.55,2.2,2.3,1873388,2.75,2.55,39190000,96015500,22.5
IDXG,2017-05-15,3.14,3.2,2.61,2.73,6952954,3.33,3.2,8790000,27600600,31.38
PTHN,2017-05-15,34.63,34.66,34.55,34.6,44867860,34.95,34.66,145140000,5026198200,33.19
CADC,2017-05-16,2.8,2.85,2.45,2.45,106391,3.05,2.85,2390000,6692000,21.74
WFBI,2017-05-16,35.55,36.16,33.35,33.58,563103,35.82,36.16,13020000,462861000,23.27
XGTI,2017-05-16,1.85,2.14,1.72,2.02,25480320,1.98,2.07,11360000,21016000,27.59
CYTR,2017-05-18,0.55,0.55,0.48,0.5,15058176,0.55,0.5499,152060000,83617794,21.31
GLYC,2017-05-18,7.83,11.58,7.21,10.67,36833606,7.81,10.48,24640000,192931200,45.81
VNCE,2017-05-19,0.55,0.55,0.42,0.45,4881791,0.6,0.5505,49430000,27181557,66.43
DYN,2017-05-19,9.24,9.4,8.8,9.12,32953425,9.4,9.4,131350000,1213674000,27.27
NUTR,2017-05-22,42.05,42.4,41.8,42.15,640878,42.45,42.4,9250000,388962500,50.18
BIOC,2017-05-22,1.79,1.85,1.44,1.52,7528832,1.8,1.85,26600000,47614000,25.17
GSOL,2017-05-23,17.75,17.9,17.75,17.88,304237,17.8,17.9,24220000,429905000,47.92
ETRM,2017-05-23,6.03,6.45,4.84,5.08,8194211,6.2,6.45,6910000,41667300,31.37
HMNY,2017-05-23,4.4,4.9,3.65,3.81,27482335,4.93,4.9,5860000,25784000,79.59
TLYS,2017-05-24,10.75,10.78,9.3,9.64,2423594,11,10.78,13670000,146952500,25.29
TCS,2017-05-24,5.6,6.07,5.18,5.5,9723132,5.8,6.07,48600000,272160000,34.94
INO,2017-05-24,9.65,9.86,8.57,8.68,28672377,12,9.86,74630000,720179500,35.34
AERI,2017-05-25,56.8,59.5,51.5,54.25,6655576,57,59.5,33640000,1910752000,40.25
BCRX,2017-05-25,6.25,7.39,6.15,6.73,27438930,6.75,7.39,80420000,502625000,21.83
SINO,2017-05-26,3.44,3.54,2.91,2.92,4594122,3.53,3.54,10110000,34778400,22.86
NSPR,2017-05-30,0.65,0.65,0.55,0.56,965031,0.69,0.65,7420000,4823000,23.11
PTGX,2017-05-30,12.28,14.85,11.12,11.82,3234657,12.75,14.85,16860000,207040800,49.39
ATW,2017-05-30,10.03,10.45,9.64,10.04,41112014,10.39,10.45,80520000,807615600,24.13
XTNT,2017-05-31,0.65,0.88,0.6,0.69,6243563,0.8098,0.88,18090000,11758500,24.11
DXTR,2017-06-01,0.27,0.27,0.21,0.22,16031805,0.2699,0.265,13970000,3702050,42.55
CPHI,2017-06-05,0.26,0.26,0.2,0.22,149928,0.23,0.2645,43580000,11526910,20.23
LOXO,2017-06-05,71.74,77.61,68.06,70.12,5901493,73.5,77.61,26150000,1876001000,46.47
DVAX,2017-06-05,7.5,7.8,6.7,6.9,13291210,8.1,7.8,48790000,365925000,27.12
CLSN,2017-06-05,3.9,4.96,3.19,3.3,22208559,3.96,4.96,4070000,15873000,46.62
EGLT,2017-06-06,3.19,3.47,2.66,2.75,8611178,3.27,3.47,25620000,81727800,35.74
GIII,2017-06-06,25.6,25.79,22.19,22.92,11621466,25.75,25.79,48650000,1245440000,28.71
NIHD,2017-06-06,1.07,1.22,0.84,0.85,16512873,1.15,1.22,100570000,107609900,64.59
DRWI,2017-06-07,1.19,1.24,0.94,1.11,15725958,1.19,1.24,8500000,10115000,84.3
INSG,2017-06-08,1.25,1.29,1.06,1.13,1136905,1.25,1.2899,55970000,69962500,27.55
DRWI,2017-06-08,1.44,1.5,1.09,1.17,6223491,1.49,1.5,8500000,12240000,29.73
DCTH,2017-06-09,0.06,0.08,0.05,0.06,574521994,0.063,0.0845,374400000,21677760,37.2
TROV,2017-06-12,1.02,1.2,0.93,0.97,6220329,1.24,1.2,30970000,31589400,26.32
XBIT,2017-06-12,3.88,5.67,3.75,4.2,9138674,4,5.671,35290000,136925200,21.25
DCTH,2017-06-12,0.08,0.08,0.06,0.06,222641365,0.0832,0.083,374400000,29764800,27.2
NURO,2017-06-13,4.18,4.4,3.13,3.2,5230262,4.23,4.4,1270000,5308600,26.67
